SENTENCE	FULL_CONTEXT	SLANG_TERM	ANNOTATOR_CONFIDENCE	MOVIE_ID	SENT_ID	REGION	YEAR	DEFINITION_SENTENCE	DEFINITION_SOURCE_URL	LITERAL_PARAPHRASE_OF_SLANG
Or maybe we could go somewhere and you could burn your tongue on some pizza.	Because that would make things even better. <i> Or maybe we could go somewhere and you could burn your tongue on some pizza. </i> I'd like that too.	burn your tongue	1	3151540	693	US	2007			
I know it's a bit long, but you understand why.	Okay. <i> I know it's a bit long, but you understand why. </i> Oh, I know!	long	1	5905224	592	US	2012			
He'll be all over the heat.	Bring the heat. <i> He'll be all over the heat. </i> Come with the off-speed stuff.	heat	1	4744540	828	US	2012			
I waited until you broke up with her, but me too.	- I did too. <i> I waited until you broke up with her, but me too. </i> I also slept with Leslie, when you were fighting.	broke up	2	54446	1649	US	2000	to end a romantic relationship or break off a dating relationship.	https://www.urbandictionary.com/define.php?term=broke-up	ended
Sammy only had one eye, but he cut quite a figure.	No, they're right. <i> Sammy only had one eye, but he cut quite a figure. </i> I know what you're doing.	cut	2	4744540	21	US	2012	to present oneself or dress stylishly and attractively.		dress
I smell a Fineman jam session coming on.	Psychedelic time. <i> I smell a Fineman jam session coming on. </i> Yeah, Burrows Hall-style.	fineman jam	1	3151540	781	US	2007			
If I am wrong, if I'm wrong, you fire me.	Our pick's up in two minutes. <i> If I am wrong, if I'm wrong, you fire me. </i> But I am telling you right now:	fire	1	4744540	1523	US	2012			
Cos see that man, there, Milky?	Yeah? <i> Cos see that man, there, Milky? </i> That man there took abuse off me.	milky	2	3179568	1114	UK	2006			
- Fuck off calling me Tubs!	- Gadge, come on, Tubs, man. <i> - Fuck off calling me Tubs! </i> I'm sick of you, Woody.	tubs	1	3179568	1268	UK	2006			
Now run home, cos Mummy's cooking curry.	- Yeah. <i> Now run home, cos Mummy's cooking curry. </i> Go on.	cos	2	3179568	1582	UK	2006	because		because
Hey, what do you call a man with paper trousers?	Is Dad coming? <i> Hey, what do you call a man with paper trousers? </i> Russell.	hey	2	3670999	125	UK	2010	general greeting, hailing someone		hello
My head is a bit foggy, and I am not sleeping a lot.	My... <i> My head is a bit foggy, and I am not sleeping a lot. </i> Yes, of course.	foggy	1	6224678	248	UK	2014			
just make us look cool.	I trust you, so I'm just gonna lay this right on ya. <i> just make us look cool. </i> I will quote you warmly and accurately.	cool	2	54446	689	US	2000	fashionable, impressive, or socially desirable. it can also refer to a sense of composure or relaxedness.	https://greensdictofslang.com/entry/nfuz7hi	stylish
"He looks harmless, but he does represent the magazine that trashed"" Layla""... broke up Cream, ripped every album Led Zeppelin ever made."	"But it's Rolling Stone. <i> He looks harmless, but he does represent the magazine that trashed"" Layla""... broke up Cream, ripped every album Led Zeppelin ever made. </i> Don't forget the rules, man."	trashed	1	54446	632	US	2000			
And clean the place up.	Any fucking time. <i> And clean the place up. </i> It fucking stinks of curry.	place	1	3179568	1659	UK	2006			
Come here and give me a big hug.	I were fucking lying! <i> Come here and give me a big hug. </i> Come here, fella.	hug	1	3179568	630	UK	2006			
I tell you... you know, any, any time you wanna come round for something to eat, you have to come to my grandma's to get something to eat.	Lucky you, aren't you? <i> I tell you... you know, any, any time you wanna come round for something to eat, you have to come to my grandma's to get something to eat. </i> - Yeah?	wanna	3	3179568	2142	UK	2006	want to		intend
Go on then, off you pop.	Nice. <i> Go on then, off you pop. </i> Thanks so much for this.	off you pop	2	3670999	419	UK	2010	go away, leave now		depart
Touch me again and I'll kick your fucking teeth so far down your Gregory Peck, you'll be able to eat out of your Khyber Pass!	Kick your head in! <i> Touch me again and I'll kick your fucking teeth so far down your Gregory Peck, you'll be able to eat out of your Khyber Pass! </i> - Fuck me, look who it is.	fucking	1	3670999	928	UK	2010			
And he would go mad.	Every day we would use Becks','cause he had these leather seats. <i> And he would go mad. </i> Because we'd got our football boots on, so we're dirtying his car.	'cause	1	5778643	1288	UK	2013			
You not got a bottle, man.	Bruv. <i> You not got a bottle, man. </i> People like you.	bottle	2	6224678	1170	UK	2014	courage		courage
They put the death of cold through me.	Jesus. <i> They put the death of cold through me. </i> They make you not want to step out the door.	death of cold	1	6224678	543	UK	2014			
""" Hard-working band makes good."" New album out, their third."	"- Stillwater? <i> "" Hard-working band makes good."" New album out, their third. </i> Starting to do something."	makes good	1	54446	566	US	2000			
Wheelin' and dealin' is... it is hard work.	Not really. <i> Wheelin' and dealin' is... it is hard work. </i> Okay.	wheelin' and dealin'	1	5905224	887	US	2012			
They spin a sexy story with these super-thin cadmium telluride semiconductors, but the truth is, the technology is not proprietary...	I passed on it twice within the last two years. <i> They spin a sexy story with these super-thin cadmium telluride semiconductors, but the truth is, the technology is not proprietary... </i> We've been over this, Bretton.	spin a sexy story	1	3967329	1254	US	2010			
A-Rod's in the type of slump he couldn't hit the beach with a beach ball.	He comes with a nasty slider that A-Rod just barely gets a piece of. <i> A-Rod's in the type of slump he couldn't hit the beach with a beach ball. </i> Here comes the oh-one.	slump	2	4744540	281	US	2012			
You better get your skinny little ass on base.	Wilson. <i> You better get your skinny little ass on base. </i> I got a chance to win this game in front of all these scouts.	skinny little ass	2	4744540	1299	US	2012	a derogatory term used to describe someone who is thin and weak.	http://greensdictofslang.com/entry/wsjwsjy	weak person
Get me a goddamn check.	Give me a check. <i> Get me a goddamn check. </i> So I hear the old man has a girlfriend in North Carolina, a young one.	check	1	4744540	1233	US	2012			
How long before they release me?	Better luck next time, boys. <i> How long before they release me? </i> You're just in a slump.	slump	2	4744540	147	US	2012	a period of poor performance or a downturn in fortune, especially in sports or business.	https://greensdictofslang.com/entry/xgf62ny	downturn
Pick your head up, buddy.	Yeah! <i> Pick your head up, buddy. </i> Pick your head up, buddy.	buddy	1	5905224	1811	US	2012			
Don't you feel like you're over your head, handling a number one pick?	How about you, Flanagan? <i> Don't you feel like you're over your head, handling a number one pick? </i> I've been doing okay so far.	over your head	1	4744540	903	US	2012			
this long journey that I had to take was the perfect counseling for a torn, confused man like me.	I realized that this... <i> this long journey that I had to take was the perfect counseling for a torn, confused man like me. </i> When I put on this suit today,	torn	1	5905224	1763	US	2012			
What's with the questions, man?	I don't know, man. <i> What's with the questions, man? </i> I feel like I'm being interrogated.	man	1	3179568	2174	UK	2006			
I've never seen anyone look that fucking sick!	Have you fucking seen how white he is! <i> I've never seen anyone look that fucking sick! </i> That fucking kid's arse went white!	sick	2	3179568	2052	UK	2006	ill, unwell		ill
Tell you what, there's fuck all that this man hasn't seen.	You lovely man. <i> Tell you what, there's fuck all that this man hasn't seen. </i> Banjo, yeah?	fuck	2	3179568	893	UK	2006	to have sex. general swear word universally.		nothing
- Fucking look at you, man!	- Oh, fucking hell! <i> - Fucking look at you, man! </i> - Fucking hell.	fucking	1	3179568	883	UK	2006			
I thought Carl was going to have it off your wrist.	8.31 and eight seconds. <i> I thought Carl was going to have it off your wrist. </i> Took a shine to it, didn't he?	going to have it	1	3472293	1046	UK	2009			
There are some lovely head shots Of the area reps in there.	Well, <i> There are some lovely head shots Of the area reps in there. </i> Done with real anger.	reps	1	6224678	31	UK	2014			
Pick your head up, buddy.	Pick your head up, buddy. <i> Pick your head up, buddy. </i> Come on.	buddy	2	5905224	1812	US	2012	a term of address used informally among men, especially as a friendly form of address.	https://greensdictofslang.com/entry/bsvqufi	friend
They had long brown hair except little Gina.	I know they did, Charlie. <i> They had long brown hair except little Gina. </i> She kept her hair short, you know.	brown	1	3151540	1664	US	2007			
Boo Radley is the most interesting character in To Kill a Mockingbird.	Boo Radley is the most interesting character in To Kill a Mockingbird. <i> Boo Radley is the most interesting character in To Kill a Mockingbird. </i> Mom, tell me more about Livia.	kill	1	54446	36	US	2000			
You might want to wipe some of the drool off your face, Jake.	This is more than just charity, Winn. <i> You might want to wipe some of the drool off your face, Jake. </i> Winnie, if it wasn't important,	drool	1	3967329	1868	US	2010			
- Two weeks is a long time.	- Yeah, we... we do. <i> - Two weeks is a long time. </i> Come on.	yeah	1	5905224	683	US	2012			
"And say,"" Yeah, come on, come in."	"So we can just open the fucking floodgates and let them all come in? <i> And say,"" Yeah, come on, come in. </i> Get off your ship."	yeah	2	3179568	1157	UK	2006	yes		yes
Sex, drugs and rock and roll.	And I am about to grow up. <i> Sex, drugs and rock and roll. </i> Okay, how about...	rock and roll	1	3670999	672	UK	2010			
Oh, come on, Bet, just this once.	Please. <i> Oh, come on, Bet, just this once. </i> I've got work.	bet	1	3670999	862	UK	2010			
Sometimes it doesn't work out, okay?	How are you? <i> Sometimes it doesn't work out, okay? </i> Sometimes you have to save yourself.	okay	2	3670999	1412	UK	2010	all right, i agree		allright
You have seen a magician wave a wand!	What a goal! <i> You have seen a magician wave a wand! </i> And conjure up a trick which the FA Cup and all its glorious past can revel in.	magician wave a wand	1	5778643	778	UK	2013			
I first seen him at The Cliff, playing in a game, and he was one of them players that you just,	"And I think it was probably one of the times when I probably did have to be strong with myself, that what I was doing and what I believed in was right. <i> I first seen him at The Cliff, playing in a game, and he was one of them players that you just, </i> "" Wait a minute, is he right-footed or left-footed?"""	them players	1	5778643	846	UK	2013			
They would pull him in for questioning, but...	I could probably find him. <i> They would pull him in for questioning, but... </i> Where would that leave you?	pull	1	6224678	965	UK	2014			
