sentence,deepseek_thinks_slang
"Oh, man, you made friends with' em.",True
There's no greater feeling than scoring in the last minute to win a game.,True
"What's the matter, you never seen anybody trip before?",True
And I bet she can make fucking sandwiches and all.,True
"One of the things that I remember is Butty's overhead kick, you know.",True
Your body odour smells like a fucking orang-utan on heat.,True
Brooklyn school kids hose them down... during a sweltering hot New York summer's day.,True
We come off like amateurs... some average band trying to come to grips with success... jealous and fighting and breaking up.,True
"John, me and you'll head over first thing.",True
"When you're one-nil down and you score that equaliser, you know it's coming.",True
"Start having fun with it, and if you do, then the guests will be more likely to come.",True
"I'm telling you, you're coming along at a very dangerous time for rock and roll.",True
"Well, Daddy's had a long day at work and he's finally finding some time to enjoy himself.",True
You got to Come quick!,True
What you doing with hot dogs?,True
"That season, the Liverpool game, we knew we'd score late,",True
Couldn't work that one out for yourself?,True
"All those dead-end jobs, Tom.",True
"I n eleven years, it's gonna be 1 984, man.",True
I gotta work in the morning.,True
"I know you had a good dad, like, but, be honest with me, what do you really think makes a bad dad, though?",True
"Hey, man, I'd travel on a pogo stick if I thought we could make more money.",True
"My little man, here, wanted to surprise you on your birthday and all that.",True
"Milky, man, are you all right?",True
"But I mean, that was the biggest relief I've ever had in my life, to come off that field winners of the Youth Cup, you know, and see them lifting the Youth Cup.",True
"Yeah, so you'll work, you'll be tired.",True
"A cup of tea for the boys there, Banj.",True
"With Giggsy it's almost slow motion, he glides on the top of the surface, his feet don't touch the ground.",True
But we got to live it going forward.,True
"Come on, Baxter, I'm working.",True
"# Well, I'm the blackmail man and I know what you do, every one of you",True
""" it's just the game for you."" I was like,",True
I bet Tom's never mentioned me before.,True
"- Hey, man, you wanna go get a drink?",True
""" That's hard that, to see your brother play in front of you.""",True
I'm sick of playing with candy-asses.,True
Kid's nothing but a dead-red hitter.,True
"Go on, off you go.",True
"You know, a new fan base, new beginnings.",True
"You knew you were in a massive game then, and then you just look for your family, give them a little wave and then it's just game on then.",True
"You know, big 6' 8"" man, giant.",True
"Good to see you, man.",True
I was hoping that you were gonna come.,True
# Hit me with your rhythm stick,True
# Hit me with your rhythm stick,True
"Just remember, keep your head up, keep kicking, try not to drown.",True
"Come on, find a spot.",True
"Shut that thing off for a second and I'll tell you the truth, all right?",True
It's just a shame you missed out on rock' n' roll.,True
I'm gonna love the look on your face when I make so much money off this.,True
I am going to fill you up until you are fit to burst.,True
Do you wanna come with me to Raleigh and have dinner with my kids?,True
"If this food gets cold, I'm gonna be mad.",True
She'll see something for example and all of a sudden[ Snap],True
"This is really bad right here,",True
"I'll throw myself at the cop and beg him to take me to the emergency room to pump my stomach, to bring in an exorcist, to call in the Air Force to nuke this whole town into radioactive dust",True
"- I got your cell, I'll be in touch.",True
Repeat this procedure four times over a 12-month period and rest assured even the fire brigade wouldn't dare enter your property if the whole fucking street were ablaze.,True
( Mum)' I'm sick of it!,True
Don't you fucking touch me!,True
"See that strikes me as odd, that a man at our age would be thinking about trying to kiss girls.",True
I stole it off Lucky.,True
- Come back if you think you're so tough!,True
♪ I've broken a few hearts They ripped mine ♪,True
I feel like sex-on-a-stick in this outfit.,True
I think I better go home before I'm sick.,True
- It's really just the icing on the cake.,True
"I went over and she has a garden with these cool, old stonewalls and we played like it was a castle.",True
"Come on, Tyler, let's go!",True
"That's good police work, Chief.",True
"I have to just work on it so that I... because I'm, like, really...",True
"I'm starting to get that I'm coming off as kind of creepy, you know.",True
"Well, it's hot in Hollywood.",True
"Alan, got a juice there for you.",True
"- I went as mad as her, first few nights.",True
"Start you off on a Glock 17, right?",True
"I just can't believe that you can't see that we need to work at this, that this is normal to, you know, see that the perfect relationship does not exist!",True
"Come on, just a quick peek.",True
There'll be no probation with 12 months off for good behaviour this time round.,True
"( Man 1) There it is, swallow that.",True
"Well, we're off the case now, thanks to you.",True
You get near my fiancée again I'll kill you.,True
"Yeah and your niece, oh man.",True
"Look, this whole rack still has the price tags on.",True
"I mean, we're used to wearing really hot, uncomfortable costumes, and this will be nothing compared to some...",True
The Soy Sauce chooses you.,True
"Oh, you can hear me, so I guess you took the Soy Sauce.",True
When you get back to London maybe we could sneak off somewhere together.,True
"Are you finished with your self-righteous bullshit, man?",True
"Yeah, that's how police stations work.",True
Like your mood and everything.,True
"- How do you mean, dark?",True
"# Well, come on, well, come on",True
"I dare you... to give Gemma... a long... hot, wet kiss on the mouth.",True
"Which is bad enough, right?",True
Would you just please come home alright!,True
"I hate when you bite into an onion ring and the onion comes out, but then you're left with this fried bread tube thing.",True
Gonna have a nice trip here.,True
"Oh, my mom, she used to work at Hooters.",True
"Often the day would end with the poor man hogtied on the living room floor, screaming furiously at us, trying to get the gag in without getting bitten.",True
"Hey, man, that's a good kid.",True
"And like really hit it, but...",True
"If you don't do that, you're dead.",True
"Hey, he was a dark horse, wasn't he?",True
"- Come on, Charlie, we're just talking here.",True
"# So the salt will spill again, throw it over your shoulder...#",True
"I'm here, just hit me.",True
You got yourself a soft landing.,True
I'm gonna give another little wave to you.,True
Mitch Raymond use to run a firm called The Guvnors.,True
"Alright, I bet you remember this!",True
"Okay, check between the sausage and the bun.",True
"It's a hole to another dimension, I bet.",True
"So, off the guy goes flying back to Tulsa.",True
"So we can go out the window, climb up to the roof go to the other side and then get in through the lopans' fire escape.",True
"But it's hard for a lot of mums and dads, isn't it?",True
Lisa always partied a bit too hard.,True
He takes all the heat.,True
""" Then, all of a sudden, there was a big crash-bang-wallop",True
"I've been ringing around putting people off, but I haven't done a very good job of it evidently.",True
We should make a move.,True
Probably keep you from gas pipes or something.,True
