sentence,slang
"1. I can smell your dank all the way over here dude

2.im sorry if i messed this definition up, im ripped out of my mind on some dank ass shit",True
"""you tool""",True
He was telling me his trash about my sense of style.,True
"Nathan says Tom’s phone voice is touch; it starts all formal and strong, then goes smouldery and alluring.",True
"The budget for a trade show booth this year is higher than years past, Even the cost for freebies and SWAG has increased and will affect the quality of these items.",True
"Person 1: Ey yo bish why u not at scool tis mornin`

Person 2: Mi mUAm was supposed to woke me ass up tis morn.
Person 1: Wait ish u tellin`me mey nigga that yous muams didn`t woke u up,
Person 2: nigga i swear mie muams is on craak
Person 1: damn m`nigga",True
i wanna get a ripped body,True
"""Safe Jo.
Safe Steve.
Safe.
Yeah safe safe.
Safe
Safe""

""Thats is so safe of you.""
""That song is so safe."" ",True
Megan gave Simon head.,True
Yo these pills you grabbed are pressed eh... it ain’t adderall...,True
"""whats your trip, I need another rip I need another rip"" KMK",True
Damn. I was rollin up in the that club last night.,True
"""You bring any smoke witcha brudda?""
""Keen to go for a smoke?""
""I held that bong in for so long that no smoke came out when I exhaled.""",True
that man is safe because he is wearing a seatbelt,True
ahh nahhh nigga thats thirsty,True
"Guy 1: hey, you know (Trap name)?
Guy 2: Bruh yeah i got like 3 body pillows.
Guy 1: thats actually a dude.
...
Guy 1: You're gay.
Guy 2: Just hand me the rope, i'll get this done myself.",True
"""Becca is off getting slayed by Davie""",True
"Let's go up into my room to take a snap!

Dude, you look so baked! How many snaps have you done?!

We ripped snaps earlier.",True
"DUKE: yo dude, my girlfriend just broke up with me man,
N0AH: Yo man, does it look like i GAS?",True
" ""Honey i got a new mini van."" "" Tight.""",True
"Person 1: Somebody's kinda sus
Person 2: Not me. I didn't kill him-
*gets voted out of the ship*",True
your very thick today,True
"That guy is Swag
Yeah I know he needs help out of the closet",True
"1.) Man, did you see Jared? He got totally ripped over the summer.

2.) Before Math starts, Tom and I are going to get ripped out of our minds.",True
"Homeboy pulls out that Tek-9, we bounce, Ace. . . .",True
"Uncultured Swine: Hey did you hear the new Miley Cyrus song?

Upstanding Citizen: Eugggh... pop...",True
Porsche Whit resembles a man and she is a female,True
"Boy: YES! after 100 hours, i'm almost done with this essay. just one last paragraph.
*computer shuts off.*
Girl: You're tight.",True
"""Watch out Tony, Tanya might kick you in the dank!""",True
"""You have a choice between chilling with either Dante or Trap, and you can't back out. Who do you choose?"" - ?
""Dude between Dante and Trap, I think I'd rather chill with Trap. I mean he isn't so bad, because I can shut him up when he thinks he knows what he's talking about with music; but he does bounce around a lot, and he shakes his legs like crazy! Yea.. actually I think I'd rather chill with Dante."" - MC Riot

When you meet a person who knows everyone, and is not afraid to let them know that he knows you!",True
"1) ""I banged her all night long.""
2) ""I heard that bang.""
3) ""Nigga I'm bangin' crip.""
4) ""Let's bang on them pussy niggaz.""",True
"where are your links? I can't give you wins without your link! Yes, i know you have linked everyone else's wall, but i need my own!",True
"""dude you fucking DANKKKKK"" or ""you dank of weed man, shit""",True
"""You got any baggie's on you?""
""Let's go get a weed bag.""
""You've been bagging that cunt heaps lately.""",True
"1. my room is clean grandma.

2. wanna make out? im clean.",True
